trade_id;account_id;client_document;date;ticker;side;quantity;price;broker_fee;tax;currency
T1000296;A0216;66624396603012;05/02/2026;BBAS3;VENDA;100,0;122; 1,50 ;1;BRL
T1000340;A0196;"	90579078604
";2026/02/07;BBAS3;Venda;1;38;1,5; 3,25 ;BRL
T1000301;A0133;cnpj: 89188368551100;04-02-2026;VALE3;Compra;250,00; 28,10 ;1;0.00;BRL
T1000335;A0002;"	33876176824
";2026-02-05;BBAS3;Venda;1.00;122,56;2; 7,50 ;BRL
T1001026;A0347;Documento 335.505.853-06;2026/02/03;BOVA11;VENDA;1000,0;14;0;7;BRL
T1000289;A0217; cpf 21433458365 ;2026/02/03;BBAS3;sell;100;14;0;1;BRL
T1000279;A0214;CNPJ 74.367.136/9594-86;06/02/2026;PETR4;S;5;9,85; 10,00 ;3,25;BRL
T1000277;A0205;444.533.729-30;06-02-2026;BOVA11;VENDA;1.500,00;52;0,38;3.25;BRL
T1000332;A0195;CNPJ 57.753.288/9028-03; 2026-02-05 ;PETR4;VENDA;5;9,85;10.00;0;BRL
T1000637;A0127; cpf 28146820751 ; 2026-02-04 ;BOVA11;VENDA; 10,00 ; 351,20 ;0,0;0,38;BRL
T1000261;A0045;270.093.604-30; 2026-02-04 ;PETR4;VENDA;1,0;10,35;0,38;3,25;BRL
T1000345;A0227;40355458136;2026-02-05;VALE3;sell;5,00;12,3,4;0;3,25;BRL
T1000281;A0317;72.925.929/3129-67; 2026-02-05 ;BBAS3;venda;100,00;10;1,50;0.0;BRL
T1000323;A0276; CNPJ	69278437458100 ; 2026-02-05 ;ABEV3; SELL ;25;28; 25,00 ;1.1;BRL
T1000267;A0254; cpf 17454976760 ;03/02/2026;BBAS3;BUY;1.000; 38,40 ;2.75;0;BRL
T1000321;A0138;CNPJ 74.367.136/9594-86;03-02-2026;ITUB4;buy;10.00;38;0.38;7.5;BRL
T1000294;A0099; cpf 16230814595 ;2026-02-06;ITUB4;sell;100,0;38,4;25,0;0,38;BRL
T1000329;A0041;CNPJ 74.367.136/9594-86; 2026-02-04 ;WEGE3;BUY;100;351.2;1;1,1;BRL
T1000342;A0140;Documento 317.682.832-22; 2026-02-05 ;ABEV3;Venda;25,00;52,10;2.75; 1,10 ;BRL
T1000271;A0036;049.497.514-84;06-02-2026;BOVA11;compra;100.00;351.20;10.0;0.0;BRL
T1000268;A0059;Documento 984.718.857-27;03/02/2026;BBAS3;VENDA;1.500,00;122.56; 0,00 ; 7,50 ;BRL
T1000341;A0250;CPF: 154.624.601-04;2026/02/07;BBAS3;BUY;1,000.00; 14,95 ;2.75;0,00;BRL
T1000272;A0047;CNPJ 74.367.136/9594-86;2026/02/07;BBAS3;COMPRA; 1.500,00 ; 38,40 ;10;3.25;BRL
T1000303;A0218;74710262052224;06/02/2026;BOVA11;B;5;9,85; 25,00 ;7.50;BRL
T1000324;A0226;CPF: 929.314.322-45;03-02-2026;ABEV3;BUY; 25,00 ; 38,40 ;0,38;7;BRL
T1000797;A0363;65095707853; 2026-02-05 ;PETR4;sell;100;52,1;1.50;0.1;BRL
T1000026;A0111; cpf 65673103247 ;2026/02/06;PETR4; BUY ;1;14,95;25.0;0,10;BRL
T1000280;A0217;80.236.786/3789-21;2026-02-04;WEGE3;S;1500,0;122.56; 10,00 ;3,25;BRL
T1000338;A0174;CNPJ 62.298.142/2427-31;2026-02-04;BOVA11;SELL;1.500;28;2;1.10;BRL
T1000278;A0029;CNPJ 91.872.040/9754-22;2026/02/04;WEGE3;VENDA;10.00;9;0;0,38;BRL
T1000305;A0007;21858333679; 2026-02-03 ;PETR4;VENDA;1,00;10,35; 10,00 ;0,0;BRL
T1000339;A0031;CNPJ 74.367.136/9594-86; 2026-02-05 ;PETR4;COMPRA;10;52.10;25.0; 7,50 ;BRL
T1001095;A0378;62433989353;04-02-2026;WEGE3;sell; 1.000,00 ;14;0,38; 0,38 ;BRL
T1000295;A0139;CPF: 297.091.147-78;07-02-2026;BBAS3;COMPRA;1;38;0.38;1.1;BRL
T1000304;A0337;cnpj: 51192307444640; 2026-02-04 ;PETR4;VENDA;100;351.20; 2,75 ;7,5;BRL
T1000264;A0016;CNPJ 36.922.357/1743-26;2026/02/05;BOVA11;buy;100;28,10;10,00;1,1;BRL
T1000112;A0188;CPF: 867.594.280-05;2026-02-06;BBAS3;S; 5,00 ;9; 0,38 ;1.10;BRL
T1000309;A0241;18.553.233/9256-79;2026-02-03;ITUB4;B;1500;52,1; 0,38 ;3,25;BRL
T1000315;A0352;Documento 471.675.009-41;03-02-2026;VALE3;S;250.00;122,56;0,0;-0,10;BRL
T1000667;A0363;579.946.837-62; 2026-02-05 ;ABEV3;S;5;10.35;10; 0,10 ;BRL
T1000322;A0335;08.737.785/7255-95;04/02/2026;PETR4;SELL; 1.500,00 ; 28,10 ;2.75;7;BRL
T1000283;A0063; CNPJ	93350879976155 ;2026-02-05;ABEV3;Venda;10,0;38; 0,00 ; 0,10 ;BRL
T1000290;A0339;Documento 042.109.192-41;2026/02/05;BOVA11;VENDA;10;28;2.75;3,25;BRL
T1000337;A0327;"	77259214783
";05-02-2026;BBAS3;Venda;100;28.10; 2,75 ;3;BRL
T1000263;A0138;CNPJ 74.367.136/9594-86;2026/02/04;ITUB4; BUY ;100.00;38,40;2,75;1;BRL
T1000346;A0131;CNPJ 17.138.554/6672-54;04/02/2026;BBAS3;compra;100;52,1;0;3;BRL
T1000091;A0339;Documento 247.038.884-83;04-02-2026;BOVA11; BUY ;100.00;52.1;1,50; 7,50 ;BRL
T1000291;A0110;CNPJ 74.367.136/9594-86;04-02-2026;ITUB4;compra;1;10,35; 10,00 ;7.5;BRL
T1000344;A0346;Documento 707.180.644-61;06/02/2026;PETR4;buy;100,0;52,1;2;3;BRL
T1000343;A0086;439.914.462-94;05-02-2026;ITUB4;sell;1500;38.4;0.0;7.5;BRL
T1000299;A0226;"	27202904322
";04-02-2026;BOVA11;compra;250.00; 14,95 ;0,0; 3,25 ;BRL
T1000319;A0151;"	38838247803
";05/02/2026;VALE3;BUYSELL;1.000,00;9,85;0,00;7,5;BRL
T1000314;A0330;CPF: 684.458.352-46;2026/02/03;BOVA11; BUY ;1,500;122,56;2.75;1;BRL
T1000288;A0157;Documento 707.261.232-77;2026/02/03;PETR4;S;10;9;1.50;;BRL
T1000284;A0185; cpf 20215829735 ;04/02/2026;BOVA11;B; 100,00 ;38.40;10.00;7,5;BRL
T1000265;A0199;956.183.159-71;05/02/2026;ABEV3;BUY;25;9.85;0,38;0,0;BRL
T1000994;A0118;"	53293004954
"; 2026-02-04 ;ITUB4;B;10,00;351;1;1.10;BRL
T1000306;A0183;987.216.362-65;2026/02/07;ITUB4;SELL;100;14;0.38; 1,10 ;BRL
T1000266;A0061;CNPJ 55.679.420/8880-82; 2026-02-06 ;WEGE3;VENDA;25.00;14;0.00;1,10;BRL
T1000282;A0118;cnpj: 15555827136545;06-02-2026;BOVA11;SELL; 1.500,00 ;351,20; 2,75 ;3,25;BRL
T1000292;A0271;CNPJ 82.483.998/7320-23;2026/02/06;VALE3;compra;1;14.95;10,0;7.50;BRL
T1000298;A0292;CPF: 716.208.586-57;07-02-2026;WEGE3;COMPRA;1,000; 14,95 ; 25,00 ;0;BRL
T1000317;A0053;cnpj: 44370492749507;2026-02-05;WEGE3;Compra;100;9.85;0;0;BRL
T1000328;A0179;CNPJ 74.367.136/9594-86;2026-02-06;BOVA11;S;1.000,00;28.10; 10,00 ;7,50;BRL
T1000336;A0183;991.933.774-95; 2026-02-05 ;ABEV3;Compra; 250,00 ; 122,56 ; 2,75 ;0;BRL
T1000333;A0247;384.239.270-24;04/02/2026;BOVA11;S;1.500; -5,00 ;2;0,38;BRL
T1000327;A0196;47.098.854/6454-00;2026-02-06;VALE3;Compra; 1,00 ;28;0; 7,50 ;BRL
T1000285;A0063;CNPJ 74.367.136/9594-86;2026/02/04;BOVA11;B;1;38.40;25;7;BRL
T1000330;A0346;CNPJ 31.118.474/9648-07; 2026-02-03 ;BBAS3;venda; 1.000,00 ;14.95;0; 7,50 ;BRL
T1000270;A0018;820.955.965-60;05-02-2026;BBAS3;compra;10;9.85;25;7;BRL
T1000389;A0038;cnpj: 24473394883391;2026-02-05;ITUB4;Venda;5;14.95;0.00;7,50;BRL
T1000293;A0222;39502190483;2026/02/03;BOVA11;Compra;100,00;28,1;10;1;BRL
T1000320;A0227;cnpj: 80968153459150;04/02/2026;PETR4;sell;250;9; 10,00 ;3,25;BRL
T1000557;A0360;492.739.377-13;2026-02-07;BBAS3;COMPRA;250.00;28,10;1,5;7,50;BRL
T1000274;A0366;16.687.031/5206-00;04/02/2026;VALE3;Compra;1500; 52,10 ;2,75;0.38;BRL
T1000318;A0313; CNPJ	75125297804147 ;2026/02/05;WEGE3;buy;1,000; 122,56 ;10;0,1;BRL
T1000286;A0373;CNPJ 74.367.136/9594-86; 2026-02-05 ;VALE3;   ;250,0;351; 25,00 ;7;BRL
T1000287;A0270;CPF: 664.877.395-29;2026/02/03;VALE3;S;10,00;122.56;25; 1,10 ;BRL
T1000297;A0085;653.180.823-35;2026-02-06;ABEV3;HOLD;250;10.35;25;3,25;BRL
T1000311;A0368; CNPJ	37744184147040 ; 2026-02-07 ;BBAS3;B;1,500;28;2.75;7;BRL
T1000316;A0106; cpf 89404976008 ;04-02-2026;PETR4;VENDA;10;38;1.5;0.10;BRL
T1000326;A0248;"	98963678504
";04-02-2026;ITUB4;compra;25,0;10;25,0;0;BRL
T1000310;A0161;CNPJ 74.367.136/9594-86;05-02-2026;PETR4;VENDA;10;10;25,00;0,38;BRL
T1000302;A0269; CNPJ	71979805245366 ;07/02/2026;BOVA11;venda;5,0;9;25;0,1;BRL
T1000260;A0038;32455621653540; 2026-02-07 ;WEGE3;SELL; 5,00 ;122.56;2;-7.50;BRL
T1000312;A0145; cpf 68551924753 ;2026-02-03;PETR4;buy;1.500;28;; 1,10 ;BRL
T1000275;A0030; cpf 94278248407 ; 2026-02-06 ;WEGE3; BUY ;12,3,4;28,10;0;0.1;BRL
T1000325;A0192;911.080.960-00; 2026-02-05 ;VALE3;BUY;1,0;9;0.38;0;BRL
T1000433;A0170;cnpj: 09564731520995; 2026-02-04 ;BOVA11;venda;250,00;52.1;10.00;7;BRL
T1000334;A0364;cnpj: 30970932263722;2026/02/06;BOVA11; BUY ; 1.500,00 ; 14,95 ;10;0.38;BRL
T1000307;A0073; cpf 03943342727 ;03-02-2026;WEGE3;COMPRA;1500,0;38;2,75;7;BRL
T1000300;A0026;17384443504; 2026-02-06 ;PETR4;sell; 10,00 ;9.85;0,38; 0,10 ;BRL
T1000331;A0181;037.459.651-40;06-02-2026;PETR4;VENDA;250;52;2,75;3;BRL
T1000308;A0163;"	53085665340
";07-02-2026;BOVA11;SELL;1000,0;28;0.0;3;BRL
T1000276;A0241;Documento 926.846.410-13;2026-02-05;BOVA11;S;1;28,10;10.00;0;BRL
T1000273;A0379; CNPJ	47574596229358 ;06/02/2026;BBAS3;venda;250;10;10,00;0.0;BRL
T1000262;A0131;Documento 807.472.536-76;2026/02/04;VALE3;Venda;10,0;351,20;10.0;0;BRL
T1001006;A0197;41719551538642;2026/02/03;WEGE3;Compra;1;52.10;2;1.1;BRL
T1000313;A0305;59145654775069;04/02/2026;ITUB4;SELL;250; 38,40 ;2.75;0.00;BRL
T1000269;A0315; cpf 53256275540 ; 2026-02-04 ;WEGE3;B;1500;38;10.0;0,10;BRL
