trade_id;account_id;client_document;date;ticker;side;quantity;price;broker_fee;tax;currency
T1000058;A0148;67.663.455/1695-88;07/02/2026;BBAS3; BUY ; 250,00 ;52,10;1.5;1,10;BRL
T1000016;A0134; CNPJ	54917887157439 ;05-02-2026;VALE3;Compra;250.00;122.56;0,38;0;BRL
T1000027;A0074;69.930.399/4026-89;06/02/2026;BOVA11;venda;100,0;14.95;2;1,1;BRL
T1000049;A0364;CNPJ 74.367.136/9594-86;2026-02-04;ITUB4;venda;100,00;351.2;1,50;0;BRL
T1001080;A0195;cnpj: 80021262822694;07/02/2026;ITUB4;S; 25,00 ;122,56;10;0.10;BRL
T1000021;A0121;85657258474683;2026/02/05;ABEV3;sell;25;10.35;10.0;7;BRL
T1000039;A0003;059.050.572-65;2026/02/05;ITUB4;venda;5,00;28;-7.50;1,10;BRL
T1000175;A0108;cnpj: 30769193828664;06/02/2026;ABEV3;SELL; 10,00 ;351.20;10,00;0,0;BRL
T1000053;A0319;cnpj: 08099576616608;2026-02-06;ITUB4; BUY ; 1.000,00 ; 38,40 ;25,0;0,38;BRL
T1000048;A0400;CNPJ 34.596.068/7441-20;07/02/2026;PETR4;sell; 1.000,00 ;28,1;10;0;BRL
T1000068;A0387;89292480408890;2026/02/07;BOVA11; BUY ;10.00;12,3,4;0,38;0.00;BRL
T1000071;A0202;CNPJ 74.367.136/9594-86;2026-02-06;ABEV3;B;1000,0;14.95;1.50;;BRL
T1000008;A0319;66.968.207/8299-30;04/02/2026;BBAS3;BUY;100; 9,85 ;25,00;0,10;BRL
T1000031;A0373; CNPJ	30237158675342 ;2026-02-07;VALE3;Compra;250,00;28,10;2;0,1;BRL
T1000034;A0240;383.926.677-78;07-02-2026;BBAS3;compra;1500;14,95;1.5;0,38;BRL
T1000057;A0202;Documento 389.988.158-34;07/02/2026;VALE3;SELL;100;9,85;1.50;0.38;BRL
T1000045;A0007;88606984213; 2026-02-06 ;ABEV3;buy;5;10.35;2,75;3;BRL
T1000051;A0280;CPF: 028.490.083-46;07/02/2026;BBAS3;Venda;-1.000;9;0.38;0;BRL
T1000043;A0059;036.033.245-52;2026-02-06;BOVA11;B;100;122; 25,00 ;3;BRL
T1000076;A0029;CNPJ 74.367.136/9594-86;2026-02-07;BOVA11;SELL; 5,00 ;122.56; 0,00 ;-1;BRL
T1000006;A0323;57997766235; 2026-02-04 ;ABEV3;COMPRA;10;351,20;10.0;0.38;BRL
T1000593;A0266;CNPJ 50.493.195/9108-59;03-02-2026;WEGE3;BUY;250,0; 38,40 ; 10,00 ;0,1;BRL
T1000002;A0007;Documento 596.856.828-36;03/02/2026;PETR4;BUY;100;28,1;2;0.38;BRL
T1000072;A0241;cnpj: 92582994027310; 2026-02-06 ;PETR4; BUY ;100,0;122.56;0,38;0;BRL
T1000079;A0346;CPF: 224.578.618-10; 2026-02-06 ;VALE3;COMPRA;100.00;28;2;0;BRL
T1000030;A0279;"	10651400961
";2026/02/06;ITUB4; SELL ;1,000;122;0;7.50;BRL
T1000073;A0072;83137271606; 2026-02-07 ;BBAS3;buy;1500,0;10;25,00;3.25;BRL
T1000491;A0284;655.722.622-34;06/02/2026;BOVA11;compra;25.00;14,95;0;0.0;BRL
T1000063;A0348;024.450.440-73;2026-02-07;BBAS3;Compra;10.00;14.95;10;0,38;BRL
T1000003;A0074;76600163331017;2026-02-03;VALE3;B;1;9;2.75; 7,50 ;BRL
T1000065;A0215;94223063245340;03/02/2026;VALE3;COMPRA;1;351; 10,00 ;7,5;BRL
T1000062;A0164;"	40981613543
";2026/02/06;BOVA11;COMPRA;1500;9.85;1;7,50;BRL
T1000055;A0299; cpf 40984725890 ;04/02/2026;ABEV3;VENDA;10,0;38.4;0;7;BRL
T1000082;A0370;CNPJ 44.556.428/9693-88;07/02/2026;VALE3;S;1,000.00;52.1;25.00;0;BRL
T1000074;A0053;cnpj: 71664866342887;2026/02/06;VALE3;COMPRA;1,000.00;28.10;0.0;0.38;BRL
T1000032;A0002;28486749115; 2026-02-03 ;ITUB4;venda;25; 38,40 ;25,00;0,10;BRL
T1000067;A0159;59057663120;05-02-2026;ITUB4;B;5;52;0,38;0,38;BRL
T1000081;A0059;20.995.490/1445-46;2026-02-04;VALE3;S;5.00;351;2,75; 3,25 ;BRL
T1000038;A0105; cpf 65595349441 ;2026/02/03;PETR4;COMPRA;100;10.35;1.5;0;BRL
T1000025;A0069;Documento 985.669.220-26;2026-02-06;BBAS3; SELL ;25,0; 28,10 ;10;0.1;BRL
T1000981;A0274;Documento 549.617.634-46;06-02-2026;ABEV3;SELL; 1,00 ;122,56;25,0;0.1;BRL
T1000015;A0185;732.314.031-54; 2026-02-04 ;VALE3;Compra;-1,000;52,10;0,0;0,38;BRL
T1000066;A0108;Documento 864.095.738-04;2026-02-04;PETR4;COMPRA;250.00;122,56;10.00;0;BRL
T1000036;A0217;CNPJ 74.367.136/9594-86;2026/02/03;BBAS3; BUY ;1.00;122.56;1;0.00;BRL
T1000557;A0360;492.739.377-13;2026-02-07;BBAS3;compra;250.00; 28,10 ;1.5;7.50;BRL
T1000024;A0178;"	86713130500
";03-02-2026;ITUB4;Compra;25; -5,00 ;10;0,38;BRL
T1000000;A0190;13.249.282/3123-46;99/99/9999;VALE3;BUY;5;28.10;10.0;0.00;BRL
T1000050;A0346;71191477738; 2026-02-04 ;BBAS3;Compra;5,0;9.85;10.0;7.50;BRL
T1000004;A0272;cnpj: 24507802867340;2026/02/06;ITUB4;S;1;52;1,5; 0,10 ;BRL
T1000041;A0161;CNPJ 61.506.785/8493-71;07-02-2026;BBAS3;compra;1000,0;52.1;0.38;0;BRL
T1000033;A0382;60671605948830; 2026-02-04 ;WEGE3;S;25;351;0,38; 3,25 ;BRL
T1000042;A0179;61.936.412/5024-97;06/02/2026;ITUB4;B;1.500;38;25,00;0;BRL
T1000059;A0225;014.768.652-05;2026-02-03;BOVA11;buy;25;52.1;2;1;BRL
T1000019;A0329;Documento 295.462.223-72;2026/02/07;ABEV3;compra;1,000;351,20;10;3.25;BRL
T1001073;A0398; cpf 38005580410 ;2026-02-07;WEGE3;Compra;100.00;351;2,75;1.10;BRL
T1000028;A0342; CNPJ	26587814891739 ;04-02-2026;WEGE3;SELL;1.000,00;10;25;0.1;BRL
T1000007;A0334;750.120.706-23;2026-02-06;WEGE3; SELL ;1,500.00;28.10;25;7.5;BRL
T1000838;A0149;CPF: 596.073.638-17;05-02-2026;PETR4;compra;250,00;38,40;25,0;0;BRL
T1000018;A0106;"	41587181983
"; 2026-02-05 ;PETR4;VENDA;100;351,2;2;0;BRL
T1000017;A0152;84324103774380; 2026-02-03 ;BBAS3;B;1.000;14;0.38;1,1;BRL
T1000005;A0342;21269866915;03-02-2026;BOVA11;SELL; 100,00 ; 9,85 ; 0,00 ;0,0;BRL
T1000009;A0175; cpf 58329858693 ; 2026-02-03 ;PETR4;sell;5;38,4; 25,00 ;0;BRL
T1000351;A0006;CNPJ 45.401.808/7364-76; 2026-02-04 ;WEGE3;COMPRA;1,00;14;10.00;1.10;BRL
T1000052;A0332;cnpj: 75907079526504;06-02-2026;PETR4;Venda;25.00;28;25,00; 7,50 ;BRL
T1000023;A0324;CPF: 570.988.242-91; 2026-02-03 ;BOVA11;Compra;250;10.35;0.38;1,1;BRL
T1000078;A0017;"	10949648833
";2026/02/04;PETR4;   ;1,000;351,2;10.0;0,38;BRL
T1000047;A0323;372.136.147-46;05-02-2026;BBAS3;compra;5;351;1;0.38;BRL
T1000054;A0186;"	92247775462
";2026-02-07;ABEV3;SELL;5,00;122;2;7,50;BRL
T1000064;A0071; cpf 57210401300 ;03/02/2026;ITUB4;BUY;R$ 10,00;28.1;25,00;0,38;BRL
T1000014;A0394;Documento 751.654.821-97; 2026-02-07 ;BOVA11; SELL ;100,0;38,4;1.5;0,38;BRL
T1000040;A0047;72660047924955; 2026-02-05 ;BOVA11;VENDA;5;38.4;0,00;0;BRL
T1000044;A0073;CPF: 289.478.028-16;05/02/2026;BBAS3; SELL ;5;122.56;1;0.1;BRL
T1000056;A0090;69410532804472;03/02/2026;BBAS3;Venda;250.00;9;0.38;0,38;BRL
T1000010;A0019;767.634.218-00;04/02/2026;BBAS3;B;1;122.56;10.0;7,50;BRL
T1000013;A0035;cnpj: 31198105133600;06-02-2026;BOVA11;venda;1,0;9.85;25;0;BRL
T1000029;A0030;CNPJ 74.367.136/9594-86;06/02/2026;WEGE3;BUY;5,0;10,35;25,0;0;BRL
T1000060;A0077;CNPJ 10.877.539/3137-11;2026/02/03;BBAS3;buy; 10,00 ;14,95;10,0;7,5;BRL
T1000061;A0065;CNPJ 77.713.268/3957-95;;PETR4;VENDA;25,0;14.95;0; 1,10 ;BRL
T1001092;A0036;"	45490944005
";03-02-2026;PETR4;Venda;1000,0;14.95;10,00;0,0;BRL
T1000069;A0195; cpf 82795072726 ;2026-02-07;BOVA11;B;5;351.20;10,00;0.38;BRL
T1000070;A0347;53327487871;2026-02-07;PETR4;S;250;10;1.5;0.1;BRL
T1000994;A0118;"	53293004954
"; 2026-02-04 ;ITUB4; BUY ;10;351;1,50;1;BRL
T1000012;A0263;"	91959702076
";2026-02-06;WEGE3;buy;5;28,1;0,00;3.25;BRL
