trade_id,account_id,client_document,date,ticker,side,quantity,price,broker_fee,tax,currency
T1001074,A0385,99616263994494, 2026-02-06 ,ITUB4,sell,5,"122,56",10.00,0,BRL
T1000115,A0244,CNPJ 63.671.997/8504-27,06-02-2026,BOVA11,SELL,5,10.35,0,"0,0",BRL
T1000122,A0069,cnpj: 64752925675373,2026/02/03,BBAS3,buy,5,9,0,1.1,BRL
T1000124,A0045,"	75841035290
",2026/02/03,ITUB4, BUY ,10,122.56,25.0,"0,38",BRL
T1000146,A0316,Documento 394.909.523-38,2026-02-06,VALE3,sell,"1.500,00",52.1," 2,75 ",0,BRL
T1000129,A0164,63999868260,2026/02/07,WEGE3,B," 250,00 ",122.56,"25,0","0,38",BRL
T1000089,A0371,28732618387,06/02/2026,ABEV3,BUY,1000,52.1,"2,75",7,BRL
T1000593,A0266,CNPJ 50.493.195/9108-59,03-02-2026,WEGE3,compra,250,38," 10,00 ","0,1",BRL
T1000139,A0065,CNPJ 74.367.136/9594-86,03/02/2026,BOVA11, SELL ,250.00,"28,10","-3,25"," 3,25 ",BRL
T1000140,A0209,CPF: 261.362.026-97,03/02/2026,WEGE3,COMPRA," 1.500,00 ",14.95,"1,50",1.10,BRL
T1000223,A0181,109.744.181-45,2026-02-04,PETR4,VENDA," 1,00 ","122,56","0,0","1,10",BRL
T1000130,A0202,CNPJ 74.367.136/9594-86, 2026-02-07 ,ITUB4, SELL ," 1.000,00 ",122.56,2.75,3,BRL
T1000156,A0143,64561604885019,03/02/2026,BBAS3,sell,10,28.1,"1,5","0,1",BRL
T1000108,A0140,"	17315097406
",05/02/2026,BOVA11,SELL,5,"122,56","1,5",0.38,BRL
T1000113,A0086,84.186.221/4590-08,07-02-2026,BOVA11, SELL ,25,122,25.0,1.1,BRL
T1000617,A0004,Documento 980.597.416-24, 2026-02-03 ,VALE3,COMPRA,5.00,9," 0,00 ",0,BRL
T1000278,A0301,67.040.437/4713-27,06/02/2026,PETR4,Venda,1.000,10,"25,0",1,BRL
T1000125,A0304,CNPJ 86.449.866/1391-06, 2026-02-07 ,BOVA11,venda,100.00,9,"10,00","1,10",BRL
T1000157,A0205,CPF: 566.844.088-51, 2026-02-03 ,VALE3,BUY,"10,0","10,35"," 0,38 ",0.38,BRL
T1000151,A0234,CNPJ 44.331.771/1539-87,2026/02/06,ITUB4,COMPRA,"1,000","14,95",2.75,1.10,BRL
T1000121,A0392,"	06144613161
",2026-02-03,ABEV3,Venda," 10,00 ",28.1,"1,50",7,BRL
T1000137,A0255,29224437990310,05-02-2026,BBAS3,Compra,1500,"38,4","2,75","0,38",BRL
T1000103,A0383,Documento 354.083.305-67,2026/02/06,ABEV3, BUY ,1500,351.20,25.0,0.38,BRL
T1000114,A0129,"	10459650815
",2026-02-04,PETR4,   ,"1500,0"," 14,95 ",0,1.10,BRL
T1000138,A0286,51975192826,2026-02-06,ITUB4, SELL ," 1.500,00 ",52,10,-1,BRL
T1000144,A0157,79465398357,03-02-2026,PETR4,S,"100,00",351,2.75,"-0,10",BRL
T1000148,A0174,60695036513,04/02/2026,ITUB4,compra,"1000,0","9,85",0,7,BRL
T1001049,A0186,CNPJ 29.087.483/3692-70,05-02-2026,BOVA11,buy,100,9.85," 25,00 "," 0,00 ",BRL
T1000133,A0048, cpf 20835372383 ,05/02/2026,BBAS3,venda,10,52,"0,0",3.25,BRL
T1000149,A0166, cpf 57688205743 ,2026-02-03,PETR4,B,"250,00",38.40,2.75,"0,38",BRL
