trade_id;account_id;client_document;date;ticker;side;quantity;price;broker_fee;tax;currency
T1001065;A0063;CNPJ 65.449.641/6350-71;05-02-2026;ABEV3;S;1.000;122,56;0.00;3;BRL
T1000747;A0310;08.888.162/1624-46;2026/02/04;BBAS3; SELL ;1;10,35;2,75;0,1;BRL
T1000702;A0010;41276504576174;2026-02-06;BOVA11;buy;1.500;9,85;2;1.10;BRL
T1000760;A0081;76.005.142/5512-58;2026/02/07;ABEV3;SELL;25;28;2; 3,25 ;BRL
T1000704;A0292; cpf 56400717889 ;07-02-2026;VALE3; BUY ;10; 38,40 ;10.0;0.10;BRL
T1000769;A0314;cnpj: 49034293299821;06/02/2026;ITUB4; SELL ;100,00;52.10;10; 0,10 ;BRL
T1000762;A0323;cnpj: 65653806866342;2026/02/07;ABEV3;compra; 1.000,00 ;28;0;1.10;BRL
T1000708;A0011;Documento 072.703.440-51; 2026-02-03 ;BOVA11;Venda;1;38;0.38;7.50;BRL
T1000729;A0173; CNPJ	97978559382491 ;04-02-2026;PETR4;buy;1500; 38,40 ;0.00; 0,38 ;BRL
T1000734;A0147;CPF: 562.659.864-22;07-02-2026;BBAS3;COMPRA;10;14.95;0;0;BRL
T1000724;A0219;CNPJ 74.367.136/9594-86;04-02-2026;VALE3; SELL ;10.00;9;1.5;0.0;BRL
T1000706;A0072; CNPJ	07460964231309 ;2026-02-06;BBAS3;Compra;25;14;0,00;3;BRL
T1001129;A0198;CPF: 714.969.780-13;06-02-2026;ITUB4;SELL;1;28,10;0.38; 1,10 ;BRL
T1000757;A0148;CNPJ 74.367.136/9594-86;2026/02/04;VALE3;SELL;1,000;10;2,75;0;BRL
T1000725;A0258;Documento 661.387.795-68; 2026-02-06 ;VALE3;Venda;250;28,1; 1,50 ;0;BRL
T1000700;A0203;CNPJ 74.367.136/9594-86;04-02-2026;WEGE3;Venda;100;10,35;1;7;BRL
T1000742;A0333;CNPJ 74.367.136/9594-86; 2026-02-03 ;ABEV3; SELL ;1,500.00;28.1;0.38;-7.50;BRL
T1000732;A0361;CNPJ 67.474.168/4835-85;03-02-2026;BBAS3;VENDA;5;52;0,38;7;BRL
T1000714;A0123;Documento 042.331.131-03;06/02/2026;ABEV3;Venda;25;122.56;25;3,25;BRL
T1000697;A0072;76464996586250;07-02-2026;WEGE3;SELL;100.00;14,95;0;3.25;BRL
T1000713;A0068;10417903170;2026-02-03;PETR4;compra;250;52;1,50;0;BRL
