trade_id,account_id,client_document,date,ticker,side,quantity,price,broker_fee,tax,currency
T1000668,A0107,88.041.170/6108-26,07/02/2026,BBAS3,S,,28,"2,75",3,BRL
T1000612,A0284,CNPJ 74.367.136/9594-86,04/02/2026,VALE3,Compra,5.00,122.56,"0,0",0,BRL
T1000091,A0339,Documento 247.038.884-83,04-02-2026,BOVA11,COMPRA,100,52,"1,50",7.5,BRL
T1000680,A0154, CNPJ	86710213769817 , 2026-02-05 ,BOVA11,B,250,52,1,0,BRL
T1000679,A0244,055.875.504-60,2026/02/03,BBAS3, SELL ,"25,00",351.20,"0,0","-0,10",BRL
T1000683,A0256,cnpj: 48807954108256,05/02/2026,VALE3,B,5,"351,2","0,38",7.5,BRL
T1000621,A0070,CNPJ 10.254.384/6019-83,04/02/2026,BOVA11,S,100,10,1,0.38,BRL
T1000681,A0039,,05/02/2026,WEGE3, SELL ,"1.000,00"," 52,10 ","0,00",0.38,BRL
T1000624,A0100,CNPJ 58.946.080/9989-51,05/02/2026,BBAS3, SELL ,100,38.4,10,"0,00",BRL
T1000657,A0117,CPF: 264.512.111-09,2026-02-06,BOVA11,B,"10,00"," 38,40 ",0.00," 3,25 ",BRL
T1000632,A0388,32.273.198/0244-39, 2026-02-05 ,BBAS3,VENDA,25," 28,10 ","10,00"," 0,38 ",BRL
T1000655,A0283,CNPJ 54.607.094/5034-27,03-02-2026,WEGE3,sell,100.00,"10,35","25,0",0,BRL
T1000614,A0215, cpf 06854002710 ,04/02/2026,PETR4,venda,1000," 14,95 ",2.75,3,BRL
T1000666,A0034,cnpj: 82192608679742,2026/02/03,PETR4, BUY ," 25,00 ",10,"0,38",0.38,BRL
T1000619,A0388,CPF: 624.090.166-00,2026-02-06,ITUB4, BUY ,"1,000.00","122,56",25," 7,50 ",BRL
T1000688,A0025,Documento 173.073.921-00, 2026-02-07 ,VALE3,buy,"100,00",10.35,1.5,1,BRL
T1000659,A0181,64561213064734,06/02/2026,ITUB4,Compra,5.00," 10,35 "," 0,38 ",3.25,BRL
T1000671,A0124, cpf 53322264467 ,04/02/2026,BOVA11,Compra," 250,00 ",28,"10,0","0,10",BRL
T1000672,A0360,Documento 849.331.205-36,2026-02-05,BBAS3,COMPRA,"1500,0",38,0,0.1,BRL
T1000625,A0373,CPF: 120.939.317-45,,ABEV3,S,"1,000.00",351.20,2.75,7,BRL
T1000402,A0319,"	22624781986
",2026/02/05,PETR4,sell,5,122.56,10.00,"0,0",BRL
T1000649,A0052,10.692.022/6109-65,07/02/2026,PETR4,COMPRA," 25,00 ","122,56",0," 0,10 ",BRL
T1000617,A0004,Documento 980.597.416-24, 2026-02-03 ,VALE3, BUY ,5.00,9,0.0,0.38,BRL
T1000648,A0291,"	35861981752
", 2026-02-07 ,BOVA11,buy,25,52.1," 10,00 ",1,BRL
T1000603,A0346,CNPJ 48.645.423/3885-76,04/02/2026,BOVA11, BUY ,"1.500,00",10.35,"0,00",7.5,BRL
T1000678,A0292,39049153987842,2026-02-07,VALE3,B,"1.500,00",9.85," 10,00 ","7,5",BRL
T1000627,A0010,14830447850, 2026-02-05 ,PETR4,BUYSELL,"250,00"," 28,10 ","1,5","0,00",BRL
T1000656,A0167, cpf 77325737734 ,2026/02/06,VALE3,Compra,100.00,10," 0,00 ",0,BRL
T1001080,A0195,"	25123740848
",07/02/2026,ITUB4,Venda,25," 122,56 ",10,0,BRL
T1000639,A0274,"	54790029450
",2026-02-04,WEGE3,SELL,"1500,0",38," 2,75 ",3,BRL
T1000611,A0229,548.704.987-40,07/02/2026,ABEV3, SELL ,"5,00",28.10,"1,5","0,00",BRL
T1000665,A0395,63946664845117,06/02/2026,ITUB4,S,"1.500,00",28,1.5,0,BRL
T1000604,A0278, cpf 16762452515 ,03/02/2026,ABEV3, SELL ,5,"52,1","0,38",0.10,BRL
T1000686,A0219,Documento 152.539.052-00, 2026-02-03 ,ABEV3, SELL ,"1,00",28,10,0.00,BRL
T1000606,A0151,CPF: 318.226.336-64,06/02/2026,BBAS3,BUY,10,28.1," 10,00 ",1.1,BRL
T1000635,A0188,99847681120,04/02/2026,VALE3, BUY ,1.00,28," 10,00 ","1,10",BRL
T1000630,A0049,51383861619005, 2026-02-04 ,BBAS3,compra,25,351,1,"0,38",BRL
