trade_id;account_id;client_document;date;ticker;side;quantity;price;broker_fee;tax;currency
T1000494;A0326;"	34638121772
";2026-02-07;BBAS3;SELL; 100,00 ;9,85; 2,75 ;0;BRL
T1000450;A0395;cnpj: 87520050387910;2026-02-07;ITUB4;S;250,00;9;25;0,1;BRL
T1000462;A0192;"	01936944766
";04-02-2026;VALE3;SELL;10.00;28.1;0;0.1;BRL
T1000503;A0262; cpf 77248798770 ;2026-02-07;VALE3;BUY; 25,00 ;38.40;0,00;7.5;BRL
T1000431;A0013;Documento 879.528.952-65;2026-02-04;PETR4;Compra;25,0;52,10;0.00;0;BRL
T1000449;A0258;Documento 937.416.720-41;06/02/2026;PETR4;S;-1.000;14.95;1.50; 7,50 ;BRL
T1000490;A0236;845.203.739-21;2026/02/04;BBAS3;B;250; 28,10 ;0.0;7,5;BRL
T1000479;A0113;CPF: 858.254.506-10;03/02/2026;ABEV3;VENDA;100;38,40;1;1,10;BRL
T1000467;A0357;17.805.791/0870-63;31/02/2026;PETR4;compra;1.000;28;0,38; 1,10 ;BRL
T1000463;A0281;85.330.860/4794-09;2026-02-04;ABEV3;SELL;1500,0;9.85;25.0;0.0;BRL
T1000501;A0237; cpf 92831095387 ;07/02/2026;ABEV3;compra;1;10,35;10,0;0.10;BRL
T1000510;A0277;;2026-02-06;VALE3; SELL ;1.500;122.56;0,0;3.25;BRL
T1000496;A0204;84.150.931/2846-87;06/02/2026;PETR4;Venda;5;52,10;25,00;3;BRL
T1000170;A0200;cnpj: 25051108271677;04/02/2026;WEGE3;B; 10,00 ;52,10;0,00;0.10;BRL
T1000472;A0012;"	60570267307
";2026-02-07;PETR4; BUY ;25;351,2;25,00; 7,50 ;BRL
T1000502;A0285; CNPJ	25088107669471 ;06-02-2026;ITUB4;BUY;5,0;9;2;0,10;BRL
T1000461;A0181;482.119.262-45;07/02/2026;WEGE3; SELL ;10; 122,56 ;2;   ;BRL
T1000445;A0037;"	68015564603
";05/02/2026;BBAS3;   ;1;9; 0,00 ; 0,00 ;BRL
T1000507;A0323;Documento 198.262.752-20;2026-02-03;BBAS3;SELL;250;9,85;25;7;BRL
T1000433;A0354;CNPJ 74.367.136/9594-86;2026-02-04;ITUB4; SELL ;1.500; 38,40 ;2,75;1.1;BRL
T1000451;A0307;CNPJ 78.573.537/6272-89;06-02-2026;VALE3;Venda;5;10,35; 0,00 ; 0,38 ;BRL
T1000482;A0248;"	47640579309
"; 2026-02-04 ;ITUB4;S; 25,00 ; 52,10 ;10;1,1;BRL
T1000520;A0380;CPF: 504.579.773-53;04/02/2026;PETR4; SELL ;100;38;1.50;1.10;BRL
T1000491;A0360;cnpj: 88332417495584; 2026-02-06 ;VALE3;buy;1500;28,10;0,0; 1,10 ;BRL
T1000477;A0302;39424883940650;06/02/2026;ABEV3;SELL;1.00;14,95;0;3.25;BRL
T1000509;A0370;Documento 936.743.845-15; 2026-02-04 ;PETR4;COMPRA;1000;10.35;2; 0,10 ;BRL
T1000013;A0035;89036463980;06-02-2026;BOVA11;VENDA;1.00; 9,85 ;25;0,1;BRL
T1000460;A0017; CNPJ	18590736240000 ;04-02-2026;PETR4; BUY ;10,00; 122,56 ;25.0;0;BRL
T1000439;A0396;CPF: 613.146.829-03;04-02-2026;WEGE3;S;25.00;10;25,0;1,10;BRL
T1000514;A0396; cpf 74595068344 ;06-02-2026;PETR4;sell;5,00;351.20;0,0;7.5;BRL
T1000505;A0179; cpf 31224524560 ; 2026-02-04 ;PETR4;B;5; 9,85 ;0,38;0;BRL
T1000508;A0040;CNPJ 17.027.461/8597-55;2026/02/05;PETR4;venda;100; 14,95 ;0,38;;BRL
T1000455;A0248; CNPJ	74725859967003 ;07-02-2026;BBAS3;COMPRA;1; 28,10 ;0;0;BRL
T1000513;A0003;31.859.628/9357-06;2026-02-03;VALE3;SELL; 1.500,00 ;38; 1,50 ;0;BRL
T1000471;A0049;868.445.874-57;04/02/2026;PETR4;sell; 1.500,00 ;10.35;10,0;1.10;BRL
T1000465;A0326;CNPJ 42.094.570/9110-84; 2026-02-06 ;ITUB4;S;1.500;10; 1,50 ;0;BRL
T1000221;A0132; CNPJ	61190361852643 ;2026/02/06;ABEV3;COMPRA;25;52;0,38;3;BRL
T1000518;A0343;Documento 940.367.243-98;06-02-2026;PETR4;Venda;1,0;122,56;0,38;0,00;BRL
