trade_id;account_id;client_document;date;ticker;side;quantity;price;broker_fee;tax;currency
T1000584;A0022;63518530950;2026-02-04;PETR4;sell;25.00;28.10;25;0;BRL
T1000560;A0179; cpf 98559547851 ;07-02-2026;BOVA11;Venda;-10; 351,20 ;0; 3,25 ;BRL
T1000556;A0184;74068923309996;06/02/2026;ABEV3;Compra;1;14,95;0,38; 1,10 ;BRL
T1000523;A0010;cnpj: 31950139812256;2026-02-07;ITUB4;SELL;100,00;122.56;2.75;0.00;BRL
T1000544;A0362; CNPJ	91304128030788 ;03/02/2026;VALE3;venda;5;10.35;0.38;7;BRL
T1000592;A0384; CNPJ	29668001514119 ;2026-02-05;BOVA11;Compra;100.00;351,2;0;0;BRL
T1000537;A0238;40.390.534/6720-20;07-02-2026;BBAS3;   ;1.000;28;2,75;0.00;BRL
T1000525;A0031;cnpj: 25154589988435;05/02/2026;ABEV3;B;1500;122,56;0; 0,00 ;BRL
T1001097;A0184;50.370.525/8643-61;07-02-2026;BBAS3; BUY ;1.000;10,35;0;3.25;BRL
T1000579;A0087;36.720.328/6390-15;06/02/2026;PETR4;buy;1,000;122.56;1,5;3;BRL
T1001166;A0283;cnpj: 70567278968427;2026/02/05;VALE3;compra;250;28;0.00; 0,10 ;BRL
T1000530;A0231;CNPJ 17.222.178/3268-83;05-02-2026;BBAS3;BUY; 5,00 ;10.35;1,5;3,25;BRL
T1000583;A0362;CNPJ 94.184.556/6937-36;2026-02-06;ITUB4;COMPRA;10;10,35;1,5;3;BRL
T1001065;A0063;CPF: 137.360.431-04;05-02-2026;ABEV3;SELL; 1.000,00 ;122,56;0;3,25;BRL
T1000585;A0151;448.274.528-65;07/02/2026;VALE3;Compra;25,00;38.40;;3,25;BRL
T1000575;A0363; cpf 40234797568 ;2026/02/06;VALE3;B;5;52;0;3,25;BRL
T1000576;A0075;84835406482820;05-02-2026;BBAS3;buy;1.500,00; 14,95 ;2.75;0,00;BRL
T1000593;A0316;CPF: 333.373.934-89;2026-02-04;PETR4; BUY ;1;38.4;25.00;3;BRL
T1000568;A0332;08.305.818/0084-51;05/02/2026;WEGE3;sell;5;10; 1,50 ;0.38;BRL
T1000558;A0229;CNPJ 74.367.136/9594-86;2026-02-07;VALE3; SELL ;250,0;28.1;0.38;0;BRL
T1000522;A0287;667.977.626-00;2026/02/06;VALE3;SELL;5.00;38;10.00; 1,10 ;BRL
T1000557;A0044;95219194429;05/02/2026;ABEV3;venda;5;52;25;0;BRL
T1000567;A0367;258.244.619-02; 2026-02-07 ;ITUB4;S;1.000,00;9;10;0;BRL
T1000555;A0327;;2026/02/06;PETR4;sell;250,00;38;25,00;1.1;BRL
T1000815;A0006;CPF: 067.589.012-89; 2026-02-03 ;ABEV3;compra;10.00;14.95;10.00;1;BRL
T1000563;A0174; cpf 72848733292 ; 2026-02-05 ;ITUB4;compra;100;351; 10,00 ;3.25;BRL
T1000586;A0391;cnpj: 06052109275093; 2026-02-04 ;PETR4;COMPRA;1;38,40;25,00;3.25;BRL
T1000598;A0274;45475369760584;2026/02/05;VALE3;sell;250;351,20;0;1;BRL
T1000565;A0356;Documento 747.723.343-78;2026/02/03;ITUB4; BUY ;1,0;351;1.50;7,5;BRL
T1000528;A0013; CNPJ	47167235221302 ;03-02-2026;ABEV3;S; 1,00 ;9;10;3;BRL
T1000566;A0279;CNPJ 56.904.441/7885-78; 2026-02-03 ;ABEV3;COMPRA;250,00;10,35;10.0;0.0;BRL
T1000527;A0376;Documento 922.369.353-58; 2026-02-07 ;BBAS3; BUY ;1.000;351,20;10.0;7.50;BRL
T1000541;A0006;CNPJ 72.540.146/5018-57;05/02/2026;ITUB4; BUY ;5.00;9,85;0.38;0,1;BRL
T1000587;A0120;cnpj: 06364522266507;03/02/2026;VALE3;Compra;10,0;9,85;25;0.0;BRL
T1000161;A0069;CNPJ 74.367.136/9594-86;2026/02/03;BOVA11;venda; 1.000,00 ;52,10;1.5;0,0;BRL
T1000038;A0304;16282696588948;2026/02/03;ABEV3; BUY ;10;52;2,75;7.50;BRL
T1000569;A0321; cpf 65233995590 ;2026/02/06;BOVA11;buy;5;14.95;10.00;7.5;BRL
T1000550;A0311;08781318678700;;ABEV3; SELL ; 10,00 ;9.85;10,00;3,25;BRL
T1000115;A0145;CNPJ 74.367.136/9594-86;2026/02/06;ABEV3; BUY ;100; 9,85 ;0.38;3;BRL
T1000244;A0195;cnpj: 82662395640488; 2026-02-03 ;BOVA11;compra; 250,00 ; 14,95 ;1.5;3.25;BRL
T1000577;A0214;CPF: 736.232.575-40;2026-02-06;WEGE3;compra; 1,00 ; 52,10 ;0.38; 1,10 ;BRL
T1000581;A0313;32036945800512; 2026-02-06 ;BBAS3;sell;1.000;28.10;1.5;0;BRL
T1000256;A0374;447.515.264-05;2026/02/07;VALE3;SELL; 5,00 ;14,95;25;3;BRL
T1000540;A0290;CPF: 260.239.653-26;2026/02/05;BBAS3; SELL ;10,00; 9,85 ;0,00;7,50;BRL
T1000589;A0085;cnpj: 28656642302681;06/02/2026;ABEV3;SELL;10.00;-12,34;10;0;BRL
T1000526;A0315;60.966.271/3427-89;2026/02/04;WEGE3;buy;250.00;9.85; 0,38 ;0,38;BRL
T1000588;A0368;CNPJ 92.145.488/6567-35; 2026-02-07 ;VALE3;compra;100; 14,95 ;1,5;abc;BRL
T1000549;A0094;CNPJ 74.367.136/9594-86; 2026-02-03 ;WEGE3;SELL;10,00; 52,10 ;0;1;BRL
T1000535;A0265;"	01018107843
";2026/02/04;ABEV3;SELL;1,00; 28,10 ; 10,00 ;0,38;BRL
T1000595;A0148;33142063378550; 2026-02-03 ;PETR4;COMPRA;250,0;14; 0,38 ;0;BRL
T1000559;A0317;"	09678810808
";2026-13-01;PETR4;Compra;5;52;2,75;1,1;BRL
T1000570;A0367;20755547306; 2026-02-06 ;BOVA11;; 250,00 ;10;2;0.38;BRL
T1000591;A0049;70677720632720;2026-02-03;ABEV3;COMPRA;250,00;10,35;1.5;0.38;BRL
T1000582;A0245;523.503.968-86; 2026-02-04 ;PETR4;Compra;5.00;52,1; 2,75 ;1.1;BRL
T1000573;A0043;CNPJ 67.412.832/3024-43; 2026-02-04 ;BOVA11;sell;10; 28,10 ; 2,75 ;7;BRL
T1000561;A0345; CNPJ	69622434816243 ;2026-02-03;PETR4; SELL ;10;52.1;0,00;3,25;BRL
T1000538;A0334;813.177.320-57;2026-13-01;ITUB4;venda;1,00;28;0; 7,50 ;BRL
T1000240;A0163;07909812701;06/02/2026;WEGE3;Venda; 5,00 ;38;25;7,5;BRL
T1000551;A0040;01.311.277/9430-86;07/02/2026;ABEV3; BUY ;10;9.85;1.50;0,38;BRL
T1000596;A0044;66884438895594;;VALE3;COMPRA;5;10;2.75;0,10;BRL
T1000580;A0332; cpf 09710964577 ; 2026-02-04 ;WEGE3;SELL;250,0;52,1;10,00; 0,38 ;BRL
T1000546;A0002;CPF: 791.018.350-09;2026-02-04;WEGE3;B;100,00; 10,35 ;25.0;0,38;BRL
T1000564;A0150;CNPJ 74.367.136/9594-86;2026/02/06;WEGE3;venda;10;52;1.5; 0,38 ;BRL
T1000529;A0019;71381125284163;04/02/2026;VALE3; BUY ;250;10,35; 10,00 ;7;BRL
T1000951;A0113;cnpj: 12205121078425; 2026-02-05 ;PETR4; SELL ; 10,00 ;9;2.75;0;BRL
T1000043;A0059;CPF: 833.187.737-35;2026-02-06;BOVA11;BUY;100;122,56;25.0;3,25;BRL
T1000779;A0387; cpf 10409728969 ;2026/02/07;WEGE3;Venda;10;10;1;3,25;BRL
T1000545;A0104;Documento 102.428.117-52;2026/02/07;BBAS3;venda;1;9; 25,00 ;7;BRL
T1000521;A0288;Documento 581.351.858-47;2026/02/04;PETR4;S;25.00;28.1;0,0;0,00;BRL
T1000539;A0214;Documento 226.517.370-38;05-02-2026;VALE3;sell; 100,00 ;52.1;0.38;1;BRL
T1000572;A0093;21460999258; 2026-02-06 ;BBAS3;COMPRA; 25,00 ;38.40;0.00;3.25;BRL
T1000590;A0276;CPF: 611.107.533-06;06/02/2026;VALE3;Venda;1;52,10;25.0; 0,00 ;BRL
T1000554;A0196;42367601186;06-02-2026;BBAS3;S;5,00;10.35;2,75;3.25;BRL
T1000890;A0165; CNPJ	34862603645085 ; 2026-02-04 ;ITUB4; BUY ;25,0;351.2;0;3;BRL
T1000536;A0165; CNPJ	43189385788242 ;07/02/2026;PETR4; BUY ;5;10,35; 2,75 ;7,50;BRL
T1000531;A0323;cnpj: 21939277523335;2026/02/06;PETR4;buy;10;28,1;0,38;0,1;BRL
T1000532;A0110;"	48224847853
"; 2026-02-07 ;BOVA11;Venda;10,00;10,35;25;0.10;BRL
T1000571;A0171; CNPJ	77193378916250 ;2026-02-05;WEGE3; SELL ;1000;9.85;10;0.38;BRL
T1000028;A0045;CPF: 399.821.959-56;05-02-2026;ITUB4;compra;1000,0;52;0,38; 3,25 ;BRL
T1000552;A0358;CPF: 172.460.560-76; 2026-02-05 ;BBAS3; SELL ;1.000;14;2;0,38;BRL
T1000534;A0111; cpf 77449603195 ;06/02/2026;WEGE3;sell;1.500; 52,10 ;25.00; 7,50 ;BRL
T1000542;A0147;78863616382876;2026-02-03;VALE3;Venda;10;28;25;3.25;BRL
T1000221;A0132; CNPJ	61190361852643 ;2026/02/06;ABEV3;compra;25.00; 52,10 ;0;3;BRL
T1000465;A0209; CNPJ	97329252896730 ;2026-02-05;BOVA11;BUY; 25,00 ;14.95;1;0;BRL
T1000578;A0131;49238275300; 2026-02-05 ;BBAS3;B;1;9;0.38; 0,10 ;BRL
T1000562;A0338;"	34165806641
";2026/02/03;ITUB4;sell;1000;122.56; 0,38 ;0.1;BRL
T1001195;A0399; cpf 82611589690 ;2026/02/03;PETR4;BUY;1000,0;9.85;10,00;1,10;BRL
T1000111;A0001;CNPJ 74.367.136/9594-86;07-02-2026;BOVA11; SELL ;1,00;38;25;0;BRL
T1000594;A0155;736.586.819-85;2026/02/07;BOVA11;HOLD;1,500.00;10;2;0,0;BRL
T1000524;A0294;65258636003;04-02-2026;BOVA11;BUY; 5,00 ;10;1.50;3,25;BRL
T1000838;A0149;CPF: 790.389.390-43;05-02-2026;PETR4;buy;250;38,40;25,00;0,00;BRL
T1000547;A0101;CPF: 067.022.225-99;2026-02-05;VALE3;B;25,0;52.1; 1,50 ;0;BRL
T1000574;A0264;CNPJ 74.367.136/9594-86; 2026-02-03 ;PETR4;compra;250.00;351; 2,75 ;3.25;BRL
T1001184;A0358;15995432222; 2026-02-07 ;ITUB4;VENDA;100;351;2,75;0,1;BRL
T1000543;A0293; cpf 59225412347 ;2026-02-04;WEGE3;venda;10;9.85;25;0;BRL
T1000553;A0238;Documento 172.056.493-07;06-02-2026;VALE3;SELL;5,0;351;0;0;BRL
T1000597;A0313;CPF: 236.323.688-21;06-02-2026;ABEV3;B;;52.10; 0,38 ; 3,25 ;BRL
T1000599;A0267;cnpj: 99274440027132;03/02/2026;ABEV3;COMPRA;25;351,2;1.5;3;BRL
